,close,date,high,low,open,quoteVolume,volume,weightedAverage,tBitCoin,tBTC,tBlockchain,delta,logReturn
0,244,2015-02-19 01:00:00,0.33,225,0.33,0.19311748,46.27631267,239.62777823,2,6,3,-243.67,
1,240.25,2015-02-20 01:00:00,245,240.25,240.25011809,0.23042935,55.894897,242.56847926,2,6,3,0.00011809000000084781,-0.0154881774428004
2,245,2015-02-21 01:00:00,245,245,245,0.06009077,14.72223865,245,2,6,3,0,0.019578162694325663
3,235,2015-02-22 01:00:00,249,235,245,0.53905499,129.12124785,239.53260845,2,5,2,10,-0.041672696400568476
4,235,2015-02-23 01:00:00,235.001,235,235.00000236,0.41092569,96.56756248,235.00006166,2,5,2,2.359999996315309e-06,0
5,239.75,2015-02-24 01:00:00,239.75,235,235,0.6267486999999999,149.15439319,237.98117682,2,5,2,-4.75,0.020011199619388798
6,237.75,2015-02-25 01:00:00,239.75,237.75,239.75,0.92755033,221.58409525,238.89172165,2,5,2,2,-0.008377012338048218
7,238.5,2015-02-26 01:00:00,239.79999999,237.75,237.75,0.00065026,0.15548793,239.11656336,2,5,2,-0.75,0.0031496089028966168
8,249,2015-02-27 01:00:00,249,238.49999999,238.49999999,1.58903736,383.75542307,241.50182540000003,2,5,2,-10.500000010000008,0.04308358613631125
9,240.00006025,2015-02-28 01:00:00,251,240,240,0.07133012,17.14733576,240.39404068,2,5,2,-6.024999998999192e-05,-0.03681372208108069
10,251,2015-03-01 01:00:00,251,240.0001205,240.0001205,0.00126983,0.31771523,250.20296503,2,5,2,-10.999879499999993,0.04481376474815679
11,269,2015-03-02 01:00:00,269,251,252,0.37903175,98.06380478,258.72187431,2,5,2,-17,0.06925844047005558
12,267.21999999,2015-03-03 01:00:00,274.5,255,268,1.66949245,442.98306981,265.33996593,2,5,2,0.7800000099999806,-0.00663909047851341
13,280,2015-03-04 01:00:00,280.00000001,258.87499998,258.87499998,0.8789594999999999,245.88902268,279.75011668,2,5,2,-21.125000020000016,0.04671731404592361
14,257.00012000000004,2015-03-05 01:00:00,280.89,257,257,0.44629752,117.44068512,263.14438207,2,5,2,-0.00012000000003808965,-0.08571305134806817
15,260,2015-03-06 01:00:00,271.00199999,260,269.00014063,0.31727545,84.1979488,265.37807701,2,5,2,9.000140629999976,0.011605079194346501
16,260.00000522,2015-03-07 01:00:00,260.00000522,260.00000522,260.00000522,0.00069998,0.1819948,260.00000522,2,5,2,0,2.007692323502397e-08
17,260.00003101,2015-03-08 01:00:00,275.002,260.000031,265,0.11875025,30.90034888,260.21291648,2,6,2,4.9999689900000135,9.919230059551865e-08
18,264.00000533,2015-03-09 01:00:00,285,260.00003101,260.00003101,0.45868191,128.36703757,279.86069382,2,6,2,-3.9999743200000353,0.01526737305095871
19,291,2015-03-10 01:00:00,291,264.00006385,264.00006385,0.19129599,54.9617595,287.31265878,2,6,2,-26.99993615,0.09737414383578269
20,276.00000001,2015-03-11 01:00:00,292.95011129,276.00000001,279.00010602,0.14928741,42.51193654,284.76571831,2,6,2,3.000106009999968,-0.05292240141811089
21,276.00000112,2015-03-12 01:00:00,289.00010602,276,289.00010602,0.01053624,2.90989245,276.17940134,2,6,2,13.000104899999995,4.021739385962064e-09
22,275.11000009,2015-03-13 01:00:00,300.99999959,275.11000009,276.00000111,0.20189675,57.61315621,285.35950289,2,6,2,0.8900010199999997,-0.0032298517600812815
23,275.10000036,2015-03-14 01:00:00,275.11000010000004,275.1,275.11000010000004,0.17560379999999998,48.31005732,275.1082683,2,6,2,0.009999740000012023,-3.6348775895866936e-05
24,282.10800036,2015-03-15 01:00:00,282.10800036,275.1,275.10000036,0.1069723,29.45410779,275.34331594,2,7,2,-7.007999999999981,0.025155308380847785
25,275,2015-03-16 01:00:00,300.9999995,275,300.9999995,0.08825293,25.56468549,289.6752039,2,7,2,25.9999995,-0.02551887995342028
26,275.00000003,2015-03-17 01:00:00,275.00000003,275.00000003,275.00000003,3.285E-05,0.00903375,275.00000003,2,7,2,0,1.0909051439966788e-10
27,262.09000001,2015-03-18 01:00:00,282.00000001,262.09000001,275.00000009,0.62280734,164.91127158,264.78697503,2,7,2,12.910000080000033,-0.04808314151257953
28,264.84631516,2015-03-19 01:00:00,267.01000006,248.82158047,267.01000006,2.77190586,713.90420443,257.54994595,2,7,2,2.1636848999999643,0.010461758698818713
